userID	questionID	rating
4444	1996	2
4444	40820	2
4444	28745	1
4444	5399	2
4444	30522	2
4444	43924	2
4444	32424	2
4444	9167	2
4444	41604	2
4444	27390	1
4444	14760	1
4444	8179	2
4444	27578	2
4444	598	1
4444	1128	1
4444	8810	1
4444	15626	2
4444	4784	2
4444	4367	1
4444	44255	2
4444	32042	2
4444	974	2
4444	8121	2
4444	44190	2
4444	14016	2
4444	7165	1
4444	39768	2
4444	19223	2
4444	3488	2
4444	36556	2
4444	41274	2
4444	20211	2
4444	8854	1
4444	30896	2
4444	38528	2
4444	4516	1
4444	4891	2
4444	27539	2
4444	26862	2
4444	22223	2
4444	43728	2
4444	25176	2
4444	32646	2
4444	6903	1
4444	36629	2
4444	14903	2
4444	1939	2
4444	466	1
4444	3254	1
4444	17695	2
4444	10949	2
4444	27566	2
4444	4186	2
4444	7653	2
4444	19615	2
4444	25313	2
4444	981	1
4444	4309	1
4444	4459	2
4444	16799	2
4444	28903	1
4444	9692	2
4444	32353	2
4444	3831	2
4444	35091	2
4444	31481	2
2222	22073	1
2222	31103	2
2222	19986	2
2222	3254	2
2222	3049	3
2222	13721	1
2222	5484	2
2222	20211	2
2222	8961	2
2222	41801	2
2222	35545	3
2222	9663	2
2222	39904	2
2222	5046	1
2222	6574	1
2222	28173	3
2222	43747	1
2222	39126	1
2222	28903	1
2222	20852	2
2222	4357	3
2222	8668	3
2222	36225	2
2222	23408	3
2222	321	3
2222	28720	2
2222	7571	1
2222	1908	2
2222	35330	1
2222	8768	2
2222	19092	1
2222	43106	2
2222	43274	1
2222	3072	3
2222	44759	1
2222	8054	1
2222	6707	2
2222	17584	1
2222	42177	2
2222	20444	1
2222	18713	1
2222	44329	2
2222	14491	2
2222	3332	3
2222	20650	2
2222	5119	2
2222	5399	1
2222	18630	2
2222	4105	1
2222	8671	2
2222	8541	3
2222	16313	2
2222	40044	3
2222	23317	3
2222	43036	1
2222	20870	2
2222	22609	2
2222	8250	2
2222	30389	2
2222	9621	3
2222	40146	1
2222	8442	3
2222	9907	1
2222	6275	1
2222	7902	2
2222	39614	2
2222	6834	3
2222	31481	3
2222	606	2
2222	23104	2
2222	25176	2
2222	8990	2
2222	564	2
2222	8335	2
2222	5802	2
2222	7445	3
2222	20373	2
2222	6141	3
2222	5279	1
2222	40347	1
2424	10974	2
2424	3255	3
2424	23504	2
2424	44787	3
2424	2442	1
2424	23560	1
2424	13690	1
2424	18573	2
2424	510	1
2424	7049	2
2424	17494	2
2424	7902	2
2424	6035	1
2424	18892	1
2424	27277	2
2424	9860	2
2424	32423	3
2424	43572	1
2424	23618	1
2424	30379	2
2424	9621	2
2424	45270	2
2424	4784	2
2424	4282	2
2424	18951	1
2424	36549	1
2424	4561	1
2424	36225	2
2424	4611	2
2424	39443	1
2424	2153	1
2424	28903	1
2424	11118	2
2424	4588	2
2424	6707	2
2424	8708	3
2424	13921	1
2424	7878	3
2424	39049	3
2424	19577	1
2424	2904	3
2424	22419	2
2424	22292	3
2424	14126	1
2424	28227	3
2424	2108	3
2424	2613	1
2424	14138	3
2424	32995	2
2424	20373	3
2424	4459	2
2424	30562	3
2424	17440	3
2424	44844	1
2424	5421	3
2424	19986	3
2424	8442	2
2424	9797	2
2424	10692	1
2424	35963	3
2424	8121	3
2424	22	1
2424	981	3
2424	2644	3
2424	8095	2
2424	14760	1
2424	34714	3
2424	141	3
2424	6992	3
2424	2484	2
2424	20389	3
2424	19138	1
2424	34301	1
2424	3191	3
2424	37672	2
2424	6169	1
2424	6485	1
2424	5945	3
2424	35031	2
2424	9395	2
1846	6632	3
1846	5849	3
1846	4825	3
1846	2495	1
1846	32423	3
1846	27987	3
1846	31837	1
1846	4597	2
1846	43128	2
1846	13724	2
1846	9585	3
1846	38313	1
1846	9907	2
1846	43106	2
1846	43914	2
1846	36892	2
1846	889	1
1846	18713	2
1846	7083	3
1846	3049	1
1846	17892	3
1846	27903	2
1846	22361	2
1846	38214	2
1846	7759	3
1846	45317	2
1846	3331	2
1846	5421	2
1846	8250	1
1846	5722	3
1846	26763	3
1846	14026	2
1846	5959	2
1846	43635	2
1846	8130	2
1846	36365	2
1846	19986	1
1846	37573	1
1846	31944	3
1846	20230	2
1846	7533	2
1846	20444	1
1846	44759	3
1846	39804	2
1846	8927	1
1846	42990	1
1846	9045	3
1846	22419	3
1846	28850	2
1846	31896	2
1846	17608	2
1846	20660	3
1846	19038	2
1846	34220	1
1846	3435	3
1846	19374	2
1846	10994	2
1846	7467	1
1846	26654	2
1846	2835	1
1846	2979	3
1846	4625	3
1846	8611	1
1846	3244	2
1846	2215	3
1846	43557	2
1846	10050	1
1846	8580	1
1846	13721	2
1846	100	2
1846	4912	1
1846	18612	1
1846	22207	3
1846	12378	1
1846	18543	2
1846	30828	1
1846	11054	2
1846	16723	3
1846	932	2
1846	5982	1
2221	40292	1
2221	20565	2
2221	38399	1
2221	2381	2
2221	277	2
2221	321	2
2221	6277	2
2221	35883	2
2221	42340	2
2221	9860	1
2221	22562	2
2221	6834	2
2221	3010	3
2221	7238	2
2221	43833	2
2221	36045	2
2221	9399	2
2221	14575	1
2221	38309	3
2221	20006	2
2221	23574	1
2221	12264	3
2221	43924	2
2221	6182	2
2221	9903	2
2221	22507	1
2221	2117	2
2221	1065	2
2221	4860	2
2221	19776	1
2221	44255	2
2221	23560	2
2221	6982	2
2221	37121	2
2221	37628	2
2221	36535	1
2221	8564	2
2221	11024	2
2221	25316	1
2221	19804	1
2221	36225	2
2221	17445	1
2221	43557	2
2221	10949	2
2221	3404	2
2221	2342	3
2221	16309	2
2221	27782	2
2221	20292	2
2221	4165	2
2221	20893	1
2221	41604	2
2221	14193	2
2221	31073	2
2221	31896	2
2221	40044	2
2221	2108	2
2221	8442	2
2221	9007	1
2221	716	2
2221	42915	2
